Date,BC
22/01/2020,0
23/01/2020,0
24/01/2020,0
25/01/2020,0
26/01/2020,0
27/01/2020,0
28/01/2020,1
29/01/2020,1
30/01/2020,1
31/01/2020,1
1/2/2020,1
2/2/2020,1
3/2/2020,1
4/2/2020,1
5/2/2020,2
6/2/2020,2
7/2/2020,4
8/2/2020,4
9/2/2020,4
10/2/2020,4
11/2/2020,4
12/2/2020,4
13/02/2020,4
14/02/2020,4
15/02/2020,4
16/02/2020,4
17/02/2020,5
18/02/2020,5
19/02/2020,5
20/02/2020,5
21/02/2020,6
22/02/2020,6
23/02/2020,6
24/02/2020,6
25/02/2020,7
26/02/2020,7
27/02/2020,7
28/02/2020,7
29/02/2020,8
1/3/2020,8
2/3/2020,8
3/3/2020,9
4/3/2020,12
5/3/2020,13
6/3/2020,21
7/3/2020,21
8/3/2020,27
9/3/2020,32
10/3/2020,32
11/3/2020,39
12/3/2020,46
13/03/2020,64
14/03/2020,73
15/03/2020,95
16/03/2020,133
17/03/2020,186
18/03/2020,231
19/03/2020,271
20/03/2020,348
21/03/2020,424
22/03/2020,472
23/03/2020,539
24/03/2020,617
25/03/2020,659
26/03/2020,725
27/03/2020,792
28/03/2020,884
29/03/2020,900
30/03/2020,970
31/03/2020,1013
1/4/2020,1066
2/4/2020,1121
3/4/2020,1174
4/4/2020,1203
5/4/2020,1229
6/4/2020,1266
7/4/2020,1291
8/4/2020,1336
9/4/2020,1370
10/4/2020,1410
11/4/2020,1445
12/4/2020,1470
13/04/2020,1490
14/04/2020,1517
15/04/2020,1561
16/04/2020,1575
17/04/2020,1618
18/04/2020,1647
19/04/2020,1676
20/04/2020,1699
21/04/2020,1724
22/04/2020,1795
23/04/2020,1824
24/04/2020,1853
25/04/2020,1948
26/04/2020,1987
27/04/2020,1998
28/04/2020,2053
29/04/2020,2087
30/04/2020,2112
1/5/2020,2145
2/5/2020,2171
3/5/2020,2205
4/5/2020,2224
5/5/2020,2232
6/5/2020,2255
7/5/2020,2288
8/5/2020,2315
9/5/2020,2330
10/5/2020,NA
11/5/2020,2353
12/5/2020,2360
13/05/2020,2376
14/05/2020,2392
15/05/2020,2407
16/05/2020,2428
17/05/2020,2436
18/05/2020,2444
19/05/2020,2446
20/05/2020,2467
21/05/2020,2479
22/05/2020,2507
23/05/2020,2517
24/05/2020,2523
25/05/2020,2530
26/05/2020,2541
27/05/2020,2550
28/05/2020,2558
29/05/2020,2562
30/05/2020,2573
31/05/2020,2585
1/6/2020,2597
2/6/2020,2601
3/6/2020,2623
4/6/2020,2632
5/6/2020,2632
6/6/2020,2641
7/6/2020,2650
8/6/2020,2659
9/6/2020,2669
10/6/2020,2680
11/6/2020,2694
12/6/2020,2709
13/6/2020,2721
14/6/2020,2733
15/6/2020,2745
16/6/2020,2756
17/6/2020,2775
18/6/2020,2783
19/6/2020,2790
20/6/2020,2801
21/6/2020,2811
22/6/2020,2822
23/6/2020,2835
24/6/2020,2849
25/6/2020,2869
26/06/2020,2878
27/06/2020,2890
28/06/2020,2902
29/06/2020,2904
30/06/2020,2916
1/7/2020,2928
2/7/2020,2940
3/7/2020,2947
4/7/2020,2956
5/7/2020,2971
6/7/2020,2978
7/7/2020,2990
8/7/2020,3008
9/7/2020,3028
10/7/2020,3053
11/7/2020,3073
12/7/2020,3094
13/7/2020,3115
14/7/2020,3128
15/7/2020,3149
16/7/2020,3170
17/7/2020,3198
18/7/2020,3232
19/7/2020,3266
20/7/2020,3300
21/7/2020,3328
22/7/2020,3362
23/7/2020,3392
24/7/2020,3419
25/7/2020,3446
26/7/2020,3473
27/7/2020,3500
28/7/2020,3523
29/7/2020,3562
30/7/2020,3591
31/7/2020,3641
1/8/2020,3684
2/8/2020,3713
3/8/2020,3759
4/8/2020,3787
5/8/2020,3834
6/8/2020,3881
7/8/2020,3934
8/8/2020,3984
9/8/2020,4014
10/8/2020,4065
11/8/2020,4111
12/8/2020,4196
13/8/2020,4274
14/8/2020,4358
15/8/2020,4458
16/8/2020,4546
17/8/2020,4594
18/8/2020,4677
